indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6,shotXPrelim,shotYPrelim,shotX,shotY,goalpoint,distY,distX,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,prevD5,prevD6,prevCat,isThroughball,isGround,goalLoc,minute
395,9.0,R Goal,62:30:05,62:32:05,62:33:05,,TG,e10,s21,nan,nan,,e,10,5,10,13,3,0,3.0,90.0,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s21,62
396,1.0,R Shot On,63:09:12,63:11:12,63:12:12,,TG,g10,s10,Bloopers,nan,,g,10,7,10,13,3,2,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,nan,nan,R Goal,0,0,s10,63
397,10.0,R Goal,64:43:18,64:45:18,64:46:18,,TB,f2,s13,nan,nan,,f,2,6,2,0,2,1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,nan,nan,R Shot On,0,0,s13,64
398,11.0,R Goal,65:11:13,65:13:13,65:14:13,,TB,c5,s17,nan,nan,,c,5,3,5,0,5,2,5.385164807134504,68.19859051364821,1,1,1,0,0,0,0,nan,nan,R Goal,0,0,s17,65
406,1.0,R Shot Wide,43:50:23,43:52:23,43:53:23,,G5,e2,OT 1,Bloopers,nan,,e,2,5,2,0,2,0,2.0,90.0,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 1,43
413,1.0,R Goal,44:31:11,44:33:11,44:34:11,,TB,f10,s16,Big Chance,nan,,f,10,6,10,13,3,1,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,0,nan,nan,R Aerial Pass,0,0,s16,44
415,1.0,R Shot On,45:54:22,45:56:22,45:57:22,,G5,d3,s16,nan,nan,,d,3,4,3,0,3,1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,nan,nan,R Unsucc Pass,0,0,s16,45
417,2.0,R Shot Wide,46:54:05,46:56:05,46:57:05,,B3,f9,OT 5,nan,nan,,f,9,6,9,13,4,1,4.123105625617661,75.96375653207352,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 5,46
427,2.0,R Goal,48:06:09,48:08:09,48:09:09,,B3,c11,s15,nan,nan,,c,11,3,11,13,2,2,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,nan,nan,L Grounded Pass,0,1,s15,48
429,3.0,R Shot Wide,49:07:23,49:09:23,49:10:23,,B3,c9,OT 6,nan,nan,,c,9,3,9,13,4,2,4.47213595499958,63.43494882292201,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 6,49
430,4.0,R Shot Wide,49:48:08,49:50:08,49:51:08,,TG,d2,OT 8,Bloopers,nan,,d,2,4,2,0,2,1,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,nan,nan,R Shot Wide,0,0,OT 8,49
433,3.0,R Goal,50:07:22,50:09:22,50:10:22,,TB,e11,s17,nan,nan,,e,11,5,11,13,2,0,2.0,90.0,1,1,1,0,0,0,0,Through Ball,nan,R Grounded Pass,1,1,s17,50
