,Des_1,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,isThroughball,goalLoc
1275,TB,1.0,90.0,1,1,1,0,0,0,0,0,s23
1280,B2,6.324555320336759,71.56505117707799,1,0,0,0,0,0,0,0,s7
1282,B2,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s20
1284,TG,5.656854249492381,44.99999999999999,1,1,0,0,0,0,0,0,s22
1286,B1,2.0,90.0,1,0,0,0,0,0,0,0,OT 8
1293,G1,5.0990195135927845,78.6900675259798,1,1,1,0,0,0,0,0,s16
1296,TB,2.0,90.0,1,1,0,0,0,0,0,0,s9
1304,TG,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s4
1310,TB,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s24
1324,TG,8.06225774829855,60.255118703057796,1,1,1,0,0,0,0,0,s17
1330,B1,2.23606797749979,63.43494882292201,1,1,1,0,1,1,0,0,s19
1335,TB,1.0,90.0,1,1,1,0,0,0,0,0,s23
1349,B3,4.47213595499958,63.43494882292201,1,1,0,0,0,0,0,0,s10
1357,G1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s22
1363,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s4
1367,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s24
1378,G1,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,s18
1387,TB,2.0,90.0,1,1,1,0,1,0,0,1,s20
1390,TG,5.0990195135927845,78.6900675259798,1,1,0,0,0,0,0,0,s21
1391,G1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s20
1396,B2,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s21
1397,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s5
1401,G1,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s20
1412,TG,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s16
1416,TB,3.0,90.0,1,0,0,0,1,0,0,0,s2
1417,B1,4.0,90.0,1,1,0,0,0,0,0,0,s17
1426,G1,6.0,90.0,1,0,0,0,0,0,0,0,OT 1
1431,TB,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 1
1435,B1,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,1,0,s9
1440,B1,4.242640687119285,45.00000000000001,1,1,1,0,0,0,0,0,s14
1441,TG,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s11
1443,B1,4.242640687119285,45.00000000000001,1,0,0,1,0,0,0,1,OT 3
1445,TB,2.0,90.0,1,1,0,0,0,0,0,0,s14
1447,B1,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,0,0,s14
